customer_id,customer_name,mobile_number,email,aadhar_last4,pan_last4,registered_address,wallet_balance,outstanding_dues,credit_score,account_status,loan_id,loan_amount,remaining_amount,monthly_emi,next_due_date,loan_status,last_recharge_amount,last_recharge_date,billing_cycle,current_bill_amount,payment_due_date,txn_count_30d,last_txn_date,complaint_id,complaint_status,complaint_created_date
C1024,User_25,9881404580,user25@example.com,5659,7123,City_32,725.64,4659.31,505,active,Lb1464518,20000.0,1036.71,1666.67,2025-12-04,active,299,2025-09-02,22,1277.55,2025-11-25,14,2025-10-18,,,
C1025,User_26,9744708521,user26@example.com,4500,4327,City_30,1203.05,584.35,788,closed,,0.0,0.0,0.0,,,399,2025-09-17,3,1834.72,2025-12-10,12,2025-08-29,,,
C1026,User_27,9284333779,user27@example.com,6143,3832,City_49,534.12,3046.87,399,active,L04f52d60,20000.0,2624.44,2000.0,2025-11-19,active,499,2025-08-25,7,223.82,2025-11-19,5,2025-08-29,,,
C1027,User_28,9738400547,user28@example.com,2544,0250,City_32,945.38,1556.87,824,active,,0.0,0.0,0.0,,,399,2025-10-14,14,650.4,2025-11-29,11,2025-09-30,,,
C1028,User_29,9365177390,user29@example.com,8125,6914,City_12,1802.67,328.89,458,suspended,L491c7726,20000.0,17579.31,1666.67,2025-11-27,active,499,2025-09-04,9,563.7,2025-11-30,13,2025-11-16,,,
C1029,User_30,9718415567,user30@example.com,4183,9113,City_41,939.53,1058.68,797,closed,,0.0,0.0,0.0,,,149,2025-09-10,16,322.44,2025-12-07,14,2025-09-04,,,
C1030,User_31,9798851490,user31@example.com,3576,3429,City_27,133.34,2389.11,846,closed,L0f284dac,25000.0,5769.87,1041.67,2025-11-21,active,99,2025-11-16,10,1957.9,2025-12-17,6,2025-09-30,,,
C1031,User_32,9739197554,user32@example.com,4518,8994,City_32,1486.82,1511.96,516,active,,0.0,0.0,0.0,,,49,2025-09-19,10,265.21,2025-11-26,2,2025-09-09,CMP10031,open,2025-01-14
C1032,User_33,9876593696,user33@example.com,2459,7803,City_12,397.07,860.64,633,closed,,0.0,0.0,0.0,,,299,2025-10-09,2,1061.15,2025-11-25,10,2025-11-01,,,
C1033,User_34,9164733809,user34@example.com,0226,1953,City_39,1784.46,662.12,532,closed,,0.0,0.0,0.0,,,49,2025-10-24,23,1503.13,2025-11-22,12,2025-10-22,,,
C1034,User_35,9158918259,user35@example.com,1232,7598,City_36,1356.82,1578.36,690,active,Le4c05929,20000.0,5863.3,555.56,2025-11-22,completed,599,2025-11-10,5,1252.14,2025-12-06,0,2025-09-07,,,
C1035,User_36,9139295304,user36@example.com,6896,1735,City_16,1310.87,803.45,719,closed,,0.0,0.0,0.0,,,299,2025-09-15,1,462.21,2025-11-27,10,2025-09-30,,,
C1036,User_37,9203349850,user37@example.com,8591,4754,City_20,29.32,946.26,657,closed,,0.0,0.0,0.0,,,49,2025-08-26,18,558.26,2025-12-04,7,2025-09-01,,,
C1037,User_38,9934929382,user38@example.com,5820,2589,City_13,1122.76,2760.85,379,closed,,0.0,0.0,0.0,,,599,2025-09-20,23,1876.24,2025-11-23,6,2025-09-17,,,
C1038,User_39,9828748743,user39@example.com,4163,6064,City_30,1661.03,3368.14,372,active,,0.0,0.0,0.0,,,299,2025-10-23,8,372.41,2025-12-01,15,2025-11-11,,,
C1039,User_40,9551600700,user40@example.com,5190,9394,City_42,1629.2,3496.29,632,suspended,L82670791,15000.0,4755.49,625.0,2025-11-20,overdue,499,2025-10-05,19,303.08,2025-11-20,13,2025-09-23,,,
C1040,User_41,9170149348,user41@example.com,6202,3995,City_9,679.9,835.33,563,closed,,0.0,0.0,0.0,,,199,2025-10-18,27,102.27,2025-12-18,1,2025-09-27,,,
C1041,User_42,9583460325,user42@example.com,3240,1034,City_20,461.28,4561.49,514,active,,0.0,0.0,0.0,,,149,2025-10-18,7,1326.26,2025-12-03,5,2025-09-05,,,
C1042,User_43,9812281490,user43@example.com,1902,4885,City_40,1467.43,1126.95,838,closed,L7a6d9899,25000.0,6030.62,2083.33,2025-12-12,active,599,2025-10-02,26,1974.67,2025-12-02,10,2025-10-13,,,
C1043,User_44,9483884961,user44@example.com,1808,7772,City_39,773.12,3379.73,596,active,,0.0,0.0,0.0,,,49,2025-09-23,7,941.61,2025-12-03,8,2025-08-24,,,
C1044,User_45,9289837265,user45@example.com,5502,0107,City_7,777.39,3199.68,718,active,,0.0,0.0,0.0,,,49,2025-10-21,16,562.74,2025-12-18,5,2025-10-27,,,
C1045,User_46,9113835094,user46@example.com,1565,1383,City_13,1139.94,3898.93,721,active,Lc3f98657,20000.0,18901.44,1666.67,2025-11-20,active,149,2025-11-17,13,1069.75,2025-12-12,12,2025-11-16,,,
C1046,User_47,9217800078,user47@example.com,6090,2708,City_37,156.78,1255.85,771,active,,0.0,0.0,0.0,,,99,2025-09-06,26,390.51,2025-12-16,6,2025-09-17,,,
C1047,User_48,9976532412,user48@example.com,3469,2672,City_43,131.17,4369.5,348,active,Lab7d856c,15000.0,8892.61,416.67,2025-11-26,active,599,2025-10-22,23,1846.03,2025-12-10,2,2025-10-08,,,
C1048,User_49,9374577000,user49@example.com,1830,6862,City_11,113.95,4958.48,564,closed,,0.0,0.0,0.0,,,99,2025-09-13,12,67.41,2025-11-19,7,2025-09-26,,,
C1049,User_50,9530367122,user50@example.com,7793,2458,City_49,1326.73,4682.05,417,closed,,0.0,0.0,0.0,,,599,2025-11-03,26,340.6,2025-12-16,13,2025-10-05,,,
C1050,User_51,9299321628,user51@example.com,0450,9726,City_10,757.73,2463.02,807,closed,,0.0,0.0,0.0,,,149,2025-09-22,6,610.68,2025-11-23,14,2025-11-12,,,
C1051,User_52,9040622270,user52@example.com,4839,9362,City_12,1614.13,3901.52,819,active,,0.0,0.0,0.0,,,299,2025-10-10,19,1368.62,2025-12-12,15,2025-08-22,,,
C1052,User_53,9224268316,user53@example.com,4828,4551,City_44,1028.89,3678.43,878,active,,0.0,0.0,0.0,,,599,2025-10-10,27,1921.45,2025-11-24,2,2025-10-26,CMP10052,in_progress,2024-11-05
C1053,User_54,9725541402,user54@example.com,2712,3838,City_50,362.73,4739.34,897,closed,,0.0,0.0,0.0,,,49,2025-09-14,1,1810.02,2025-11-30,10,2025-11-16,,,
C1054,User_55,9118206544,user55@example.com,8651,5477,City_19,1453.0,2903.13,344,active,Lad92ae3f,5000.0,1752.58,416.67,2025-12-08,completed,599,2025-09-09,21,137.16,2025-12-03,3,2025-11-07,,,
C1055,User_56,9199867952,user56@example.com,1061,2033,City_35,686.55,3664.35,642,active,,0.0,0.0,0.0,,,299,2025-10-14,18,311.27,2025-11-24,8,2025-09-19,,,
C1056,User_57,9802535988,user57@example.com,8361,4073,City_27,1269.14,2588.8,476,suspended,L22de9320,25000.0,15615.48,694.44,2025-11-27,active,49,2025-10-20,1,1190.25,2025-11-22,7,2025-08-25,,,
C1057,User_58,9383647952,user58@example.com,0880,9526,City_12,1978.77,959.85,477,suspended,,0.0,0.0,0.0,,,299,2025-08-28,9,1100.51,2025-12-08,8,2025-09-19,,,
C1058,User_59,9958939909,user59@example.com,5795,7762,City_34,114.71,1047.34,550,closed,,0.0,0.0,0.0,,,599,2025-09-08,19,1650.95,2025-12-18,13,2025-11-04,,,
C1059,User_60,9641499385,user60@example.com,1516,6393,City_22,1533.06,2469.41,589,closed,L15cb1a93,20000.0,10483.66,833.33,2025-11-23,active,499,2025-10-21,19,125.59,2025-12-11,7,2025-11-05,,,
C1060,User_61,9716003508,user61@example.com,9036,2484,City_12,1843.13,3807.69,598,active,Le5fa6d98,5000.0,4850.94,208.33,2025-12-14,active,49,2025-10-24,22,672.22,2025-12-03,13,2025-09-12,,,
C1061,User_62,9598782101,user62@example.com,0448,3264,City_35,1909.52,2486.35,719,active,L88590b0d,20000.0,4321.99,1666.67,2025-11-30,completed,99,2025-09-28,26,1296.56,2025-11-23,5,2025-10-07,,,
C1062,User_63,9449920496,user63@example.com,0690,8235,City_47,27.33,3631.62,653,active,L17a5cfbb,15000.0,13778.77,625.0,2025-12-18,completed,49,2025-09-24,7,911.71,2025-11-19,10,2025-09-13,,,
C1063,User_64,9828904662,user64@example.com,1899,3063,City_10,711.27,3216.42,724,active,,0.0,0.0,0.0,,,399,2025-10-29,3,591.62,2025-11-19,9,2025-11-14,,,
C1064,User_65,9968019702,user65@example.com,3298,6908,City_41,1534.54,1569.67,878,suspended,,0.0,0.0,0.0,,,199,2025-11-05,9,871.18,2025-11-29,7,2025-10-15,,,
C1065,User_66,9911587374,user66@example.com,0880,9533,City_14,1606.17,4195.1,742,active,,0.0,0.0,0.0,,,599,2025-10-09,2,1509.43,2025-12-08,6,2025-10-04,,,
C1066,User_67,9711808804,user67@example.com,8251,8649,City_8,880.45,2622.69,559,suspended,Ldefadc50,20000.0,19993.58,2000.0,2025-12-16,completed,149,2025-10-05,14,1830.73,2025-11-29,15,2025-10-04,,,
C1067,User_68,9636332421,user68@example.com,1910,6620,City_46,1532.99,3381.69,417,active,,0.0,0.0,0.0,,,149,2025-11-11,14,838.04,2025-12-04,15,2025-09-10,,,
C1068,User_69,9821507985,user69@example.com,3333,5039,City_5,128.34,3106.35,644,suspended,,0.0,0.0,0.0,,,499,2025-09-24,21,1758.65,2025-12-01,8,2025-11-16,,,
C1069,User_70,9249529239,user70@example.com,3006,3210,City_29,156.98,2530.92,362,active,L2b9a2450,10000.0,5961.02,833.33,2025-12-03,overdue,49,2025-11-18,14,1275.82,2025-12-02,14,2025-10-22,,,
C1070,User_71,9557581558,user71@example.com,6446,3886,City_38,1341.19,3253.05,587,active,,0.0,0.0,0.0,,,199,2025-08-20,14,1782.33,2025-12-14,8,2025-09-11,,,
C1071,User_72,9482895442,user72@example.com,9275,7723,City_10,328.18,2040.2,477,active,,0.0,0.0,0.0,,,199,2025-09-06,28,1793.55,2025-12-15,12,2025-09-19,,,
C1072,User_73,9125454270,user73@example.com,6884,6907,City_43,1742.54,575.5,556,closed,L92311ed6,20000.0,12043.95,555.56,2025-12-09,active,49,2025-09-27,17,1065.98,2025-12-13,4,2025-10-20,,,
C1073,User_74,9049702015,user74@example.com,8975,4523,City_39,1730.92,4079.88,408,suspended,,0.0,0.0,0.0,,,49,2025-10-29,11,486.51,2025-11-21,12,2025-10-18,,,
C1074,User_75,9886248879,user75@example.com,3114,7430,City_49,318.71,270.54,625,closed,,0.0,0.0,0.0,,,199,2025-09-29,25,1449.18,2025-12-12,13,2025-10-09,,,
C1075,User_76,9199477505,user76@example.com,6301,8081,City_50,509.26,3168.9,469,active,,0.0,0.0,0.0,,,399,2025-09-18,12,1240.77,2025-11-30,8,2025-09-02,,,
C1076,User_77,9649133941,user77@example.com,3889,9663,City_34,221.64,3870.26,768,closed,L7c5544dc,10000.0,8482.07,1000.0,2025-12-13,active,149,2025-08-22,5,483.0,2025-12-09,2,2025-10-11,,,
C1077,User_78,9343209044,user78@example.com,7814,8358,City_4,708.69,4866.1,408,suspended,,0.0,0.0,0.0,,,149,2025-09-15,22,1420.67,2025-11-21,8,2025-09-05,,,
C1078,User_79,9708498521,user79@example.com,2535,3701,City_40,22.44,3922.85,302,suspended,,0.0,0.0,0.0,,,149,2025-11-13,10,1011.6,2025-11-25,12,2025-09-13,,,
C1079,User_80,9585856760,user80@example.com,7432,4250,City_47,1362.27,434.87,832,closed,,0.0,0.0,0.0,,,199,2025-10-10,21,185.44,2025-11-20,7,2025-10-26,,,
C1080,User_81,9256922293,user81@example.com,6761,7664,City_28,1867.33,4240.34,441,suspended,Lc7771ee8,20000.0,15028.12,3333.33,2025-12-07,overdue,599,2025-11-04,6,1852.67,2025-11-22,2,2025-10-31,,,
C1081,User_82,9166556673,user82@example.com,1707,7705,City_5,405.83,2261.3,759,suspended,,0.0,0.0,0.0,,,499,2025-09-06,6,808.65,2025-12-18,7,2025-08-30,,,
C1082,User_83,9618066058,user83@example.com,2511,3387,City_18,663.62,1522.73,578,closed,,0.0,0.0,0.0,,,149,2025-09-30,18,1342.32,2025-11-24,12,2025-08-29,,,
C1083,User_84,9286831346,user84@example.com,1520,0376,City_49,712.52,3540.23,726,closed,,0.0,0.0,0.0,,,299,2025-11-12,22,736.73,2025-12-01,14,2025-10-29,,,
C1084,User_85,9538360423,user85@example.com,2212,2727,City_18,240.04,4371.0,320,active,La773d6d3,5000.0,1588.54,500.0,2025-11-24,completed,49,2025-09-23,9,1310.65,2025-12-18,12,2025-09-17,,,
C1085,User_86,9114757316,user86@example.com,8327,0519,City_12,1341.16,98.42,889,closed,,0.0,0.0,0.0,,,299,2025-09-24,10,1611.91,2025-11-19,11,2025-10-19,,,
C1086,User_87,9565661432,user87@example.com,5424,2416,City_12,1939.78,4761.82,501,suspended,,0.0,0.0,0.0,,,99,2025-10-28,13,711.86,2025-11-27,7,2025-08-20,,,
C1087,User_88,9416737427,user88@example.com,2326,6418,City_40,1252.04,4668.14,852,active,,0.0,0.0,0.0,,,49,2025-09-29,15,294.52,2025-12-02,5,2025-10-12,,,
C1088,User_89,9007254837,user89@example.com,7231,2552,City_41,1346.01,2739.72,838,closed,Lc7aec89f,5000.0,541.58,500.0,2025-11-22,active,199,2025-11-15,19,1860.28,2025-11-28,3,2025-10-07,,,
C1089,User_90,9851049757,user90@example.com,0875,6590,City_48,1691.31,2157.21,526,active,,0.0,0.0,0.0,,,149,2025-10-04,5,130.58,2025-12-10,10,2025-09-22,,,
C1090,User_91,9827662039,user91@example.com,3724,4422,City_6,743.0,720.72,353,suspended,,0.0,0.0,0.0,,,49,2025-11-06,26,439.89,2025-11-19,7,2025-11-02,,,
C1091,User_92,9160312076,user92@example.com,3765,9951,City_42,853.73,4933.01,589,active,,0.0,0.0,0.0,,,599,2025-08-25,18,898.06,2025-11-27,11,2025-09-10,,,
C1092,User_93,9692077893,user93@example.com,3462,5856,City_47,969.06,4347.59,306,suspended,L06614cc7,15000.0,4069.71,1250.0,2025-12-01,completed,599,2025-09-24,23,811.88,2025-12-02,10,2025-11-16,,,
C1093,User_94,9643619052,user94@example.com,7636,5886,City_46,1925.76,1110.81,856,closed,,0.0,0.0,0.0,,,99,2025-11-15,11,880.58,2025-12-07,10,2025-09-10,,,
C1094,User_95,9107915040,user95@example.com,4374,0630,City_28,512.68,1683.43,891,suspended,Lce1a61ef,25000.0,4457.98,1041.67,2025-12-01,completed,299,2025-11-16,24,851.58,2025-12-08,1,2025-10-02,,,
C1095,User_96,9213210618,user96@example.com,2708,6548,City_49,1559.45,601.37,479,active,,0.0,0.0,0.0,,,399,2025-10-07,21,1555.18,2025-12-02,1,2025-10-30,,,
C1096,User_97,9744572604,user97@example.com,4642,8892,City_12,1087.66,45.3,626,closed,Le0ec0929,15000.0,2445.88,2500.0,2025-12-12,completed,599,2025-09-22,14,616.94,2025-12-15,14,2025-09-27,,,
C1097,User_98,9091810938,user98@example.com,2929,9769,City_4,183.21,3640.14,613,active,,0.0,0.0,0.0,,,599,2025-09-19,23,519.6,2025-12-12,5,2025-10-20,,,
C1098,User_99,9325894958,user99@example.com,4934,2748,City_43,1666.05,4097.68,824,active,Lc3b8e2fc,10000.0,141.29,1666.67,2025-11-19,overdue,399,2025-08-24,4,244.23,2025-12-15,11,2025-09-25,,,
C1099,User_100,9248793731,user100@example.com,8259,5568,City_39,376.97,3138.77,492,active,,0.0,0.0,0.0,,,399,2025-09-24,28,1527.1,2025-12-04,6,2025-11-05,,,
C1100,User_101,9588009002,user101@example.com,6126,7424,City_25,800.41,823.48,822,suspended,,0.0,0.0,0.0,,,299,2025-10-18,11,1413.97,2025-11-19,2,2025-08-23,,,
C1101,User_102,9694372349,user102@example.com,3880,1870,City_29,1678.94,3736.65,449,closed,,0.0,0.0,0.0,,,149,2025-09-04,5,1409.53,2025-11-24,4,2025-09-20,,,
C1102,User_103,9356978253,user103@example.com,5190,9152,City_34,1790.52,3577.67,502,active,,0.0,0.0,0.0,,,149,2025-09-05,2,520.27,2025-12-11,9,2025-11-09,,,
C1103,User_104,9009671324,user104@example.com,0785,2819,City_19,1583.1,1762.97,421,closed,,0.0,0.0,0.0,,,149,2025-11-06,15,728.25,2025-11-21,13,2025-09-24,,,
C1104,User_105,9915885412,user105@example.com,1503,9014,City_35,243.62,3554.07,737,closed,,0.0,0.0,0.0,,,499,2025-09-15,14,1842.25,2025-12-08,14,2025-09-02,,,
C1105,User_106,9086829177,user106@example.com,2908,7552,City_23,1883.79,4329.48,410,suspended,,0.0,0.0,0.0,,,499,2025-11-12,2,1929.26,2025-12-17,4,2025-11-18,,,
C1106,User_107,9219563138,user107@example.com,6775,8373,City_30,505.95,1647.61,682,suspended,Lec30132a,10000.0,1397.52,1000.0,2025-11-27,overdue,299,2025-09-24,4,1203.13,2025-11-20,15,2025-11-07,,,
C1107,User_108,9202579241,user108@example.com,1664,2569,City_37,1501.79,4912.02,330,suspended,,0.0,0.0,0.0,,,399,2025-11-13,1,1125.28,2025-12-07,13,2025-09-07,,,
C1108,User_109,9305962160,user109@example.com,2621,5826,City_10,100.72,2546.69,772,active,,0.0,0.0,0.0,,,149,2025-08-26,22,1068.73,2025-12-03,10,2025-09-24,,,
C1109,User_110,9252250040,user110@example.com,1945,7343,City_36,1763.97,74.5,764,closed,,0.0,0.0,0.0,,,149,2025-08-23,9,233.74,2025-12-03,12,2025-11-05,,,
C1110,User_111,9344918993,user111@example.com,6331,9790,City_30,1437.37,2883.49,635,suspended,,0.0,0.0,0.0,,,399,2025-09-14,28,831.26,2025-12-12,5,2025-09-05,,,
C1111,User_112,9989303340,user112@example.com,8164,4725,City_34,671.17,3062.8,409,closed,,0.0,0.0,0.0,,,149,2025-08-29,2,1289.64,2025-12-05,14,2025-10-27,,,
C1112,User_113,9541842924,user113@example.com,6382,2960,City_24,772.03,1889.93,834,closed,,0.0,0.0,0.0,,,199,2025-10-13,11,1083.14,2025-12-07,12,2025-08-28,,,
C1113,User_114,9168148454,user114@example.com,5889,8719,City_3,175.71,2061.84,635,closed,,0.0,0.0,0.0,,,199,2025-09-26,14,1178.38,2025-12-06,9,2025-10-09,,,
C1114,User_115,9964879579,user115@example.com,0125,5912,City_9,1968.98,3344.02,559,suspended,,0.0,0.0,0.0,,,299,2025-10-05,15,1413.35,2025-11-28,4,2025-08-30,,,
C1115,User_116,9810044968,user116@example.com,8221,9765,City_48,707.22,4218.83,859,suspended,,0.0,0.0,0.0,,,99,2025-11-10,21,1194.31,2025-12-18,8,2025-09-16,,,
C1116,User_117,9195456605,user117@example.com,7331,2602,City_2,1457.23,2640.48,838,active,L8afb47ed,10000.0,7138.57,833.33,2025-12-07,overdue,149,2025-10-11,13,1076.42,2025-12-16,10,2025-10-20,,,
C1117,User_118,9622896790,user118@example.com,5894,9845,City_21,1095.31,300.02,708,suspended,,0.0,0.0,0.0,,,199,2025-09-30,24,322.13,2025-12-11,7,2025-09-16,,,
C1118,User_119,9351997846,user119@example.com,5653,2644,City_47,83.42,4039.76,469,suspended,L722c7502,5000.0,4540.96,138.89,2025-11-27,completed,299,2025-09-13,7,1616.49,2025-12-18,2,2025-10-10,,,
C1119,User_120,9107586558,user120@example.com,3411,4325,City_10,1720.76,749.0,724,active,Ladec13c0,20000.0,10375.91,1666.67,2025-12-17,completed,599,2025-10-06,19,1951.74,2025-11-20,0,2025-10-27,,,
C1120,User_121,9751125780,user121@example.com,2941,0667,City_13,774.75,1878.62,898,suspended,,0.0,0.0,0.0,,,299,2025-11-03,20,1641.33,2025-12-14,3,2025-09-01,,,
C1121,User_122,9142543347,user122@example.com,3406,3271,City_41,861.32,2061.92,636,suspended,,0.0,0.0,0.0,,,99,2025-11-02,6,1137.01,2025-12-09,7,2025-08-21,,,
C1122,User_123,9509812670,user123@example.com,7206,5751,City_40,426.97,2248.46,445,closed,,0.0,0.0,0.0,,,149,2025-09-26,13,1258.28,2025-12-14,7,2025-11-05,,,
C1123,User_124,9446909702,user124@example.com,0090,2945,City_50,293.24,1405.99,555,suspended,,0.0,0.0,0.0,,,599,2025-10-12,19,298.48,2025-11-20,7,2025-11-04,,,
C1124,User_125,9562533784,user125@example.com,2378,7715,City_19,58.66,4919.0,437,suspended,,0.0,0.0,0.0,,,499,2025-10-18,26,1656.2,2025-12-02,3,2025-09-17,,,
C1125,User_126,9157799855,user126@example.com,3324,5082,City_18,582.45,2862.25,882,suspended,,0.0,0.0,0.0,,,599,2025-10-19,18,698.31,2025-11-27,0,2025-08-22,,,
C1126,User_127,9715279523,user127@example.com,9046,1098,City_7,281.08,1827.23,748,suspended,L140e5258,15000.0,86.25,625.0,2025-12-08,overdue,599,2025-10-13,21,1662.24,2025-12-01,2,2025-10-06,,,
C1127,User_128,9420075892,user128@example.com,8376,2802,City_7,639.38,1195.96,451,suspended,,0.0,0.0,0.0,,,199,2025-10-08,7,589.59,2025-12-16,3,2025-09-30,,,
C1128,User_129,9175256834,user129@example.com,4777,0435,City_11,1410.58,3951.69,527,closed,,0.0,0.0,0.0,,,199,2025-08-28,3,926.79,2025-11-30,12,2025-10-25,,,
C1129,User_130,9601312552,user130@example.com,5536,1736,City_50,1781.59,3745.19,647,suspended,,0.0,0.0,0.0,,,49,2025-11-08,5,1903.62,2025-12-07,4,2025-09-01,,,
C1130,User_131,9264974381,user131@example.com,1091,5879,City_50,1433.87,4541.02,895,active,,0.0,0.0,0.0,,,499,2025-11-02,1,192.21,2025-12-08,15,2025-09-04,,,
C1131,User_132,9761919643,user132@example.com,7362,9628,City_3,422.9,3613.29,394,closed,,0.0,0.0,0.0,,,599,2025-11-13,1,801.18,2025-11-19,1,2025-09-15,,,
C1132,User_133,9390807731,user133@example.com,5759,2484,City_27,1832.93,3426.6,668,closed,,0.0,0.0,0.0,,,99,2025-10-28,1,1415.57,2025-12-18,2,2025-09-17,,,
C1133,User_134,9291147450,user134@example.com,4050,3408,City_16,1700.71,2316.63,694,active,L1cd6fbeb,5000.0,3091.98,416.67,2025-11-24,completed,99,2025-09-01,22,1811.52,2025-12-03,3,2025-11-03,,,
C1134,User_135,9797929324,user135@example.com,0787,0175,City_26,920.27,3962.86,796,suspended,,0.0,0.0,0.0,,,149,2025-11-14,22,895.03,2025-11-24,10,2025-11-06,,,
C1135,User_136,9547827524,user136@example.com,0583,7914,City_36,1396.5,4712.51,675,active,,0.0,0.0,0.0,,,299,2025-10-29,11,914.61,2025-12-01,7,2025-11-12,,,
C1136,User_137,9448982084,user137@example.com,4401,5790,City_48,1731.08,1853.17,609,closed,,0.0,0.0,0.0,,,49,2025-10-24,24,845.44,2025-11-24,4,2025-11-10,,,
C1137,User_138,9753481136,user138@example.com,9018,7015,City_21,990.17,1994.17,602,suspended,,0.0,0.0,0.0,,,299,2025-11-18,12,218.78,2025-12-17,13,2025-09-29,,,
